"","stars","text"
"24",4,"Very pleased with our overall stay. For the most part, staff friendly and helpful especially the concierge. We were disappointed with the menu at the Barbados Room. We were hoping to just enjoy a nice dinner upon our arrival and were not prepared to go searching for a reservation outside the hotel after a day of traveling. After reviewing the menu, we realized there was no real ""dinner"" menu. Just sandwiches and pizza etc. What a waste of such a lovely room. And the drinks leave a lot to be desired. Pool and outside courtyard are lovely. Hotel is very clean. We did encounter some really rude loud guests who decided to continue their party in the hallway at 3 a.m. Easter Sunday. But guess you cannot do a background check of incoming guests."
"25",4,"We booked Aloft because it is next to DPAC which was very convenient. We parked in their parking deck and everything was within walking distance including restaurants, Durham Bulls Athletic Park, and of course DPAC. The room was clean, I was very pleased with that! The lobby area had a breakfast room and other things you could purchase throughout the... More"
"26",5,"My stay was very pleasant and jackie and maggie make my stay better.Ty girls!!"
"27",5,"Took family of 4 (2 adults and 2 tweens) to Lafayette on business. Was pleasantly surprised by this hotel. It has a nice floor-plan (we stayed in the one-bedroom with the pull-out sofa sleeper). Location possesses a 'secluded' feel. Every once in a while you'll hear a plane fly overhead or an automobile (if you are outside). Free covered parking... More"
"28",1,"I took my significant other to Springhill Suites for a weekend of relaxation for his birthday and I was very disappointed. When we decided to lay down there was a blood stain on 2 different sheets. We also did not use the shower because it was a grey film covering the bottom of the bathtub. I also think there was a laundry room next to us due to all of the noise and banging early in the morning. Overall, the cleanliness of the room was a problem, but the front desk staff was very friendly!! oh and I could've done without the breakfast!!"
"29",5,"We were blown away at the dcor and style of this Courtyard Marriott! We were finishing our vacation week which was split between Myrtle and Charleston SC and we had just been very disappointed by our stay in Charleston at the Hyatt Place. This was just what we needed to turn things around! We were going to a show at the House of Blues and it was perfect, just down the street! Plenty of gas, mini golf, food, bars, shopping etc nearby! We arrived early and they did not have rooms ready so they gave us free waters and snacks and although we maybe waited 30 mins for a room they kept checking on us as well as still got us into a room before the posted check in time on 4th of July weekend! I would highly recommend this hotel!!"
"30",1,"Rude man at check in, no cable or internet for 1 1/2 days, dirty sheets, staff not helpful, no coffee, horrible stay!!"
"31",5,"The pillows were too small and not comfortable. The staff was wonderful. The complimentary breakfast was very good."
"32",5,"Nice Suite. Very comfortable bed room with two double beds. Nice linens. Separate sitting room with microwave and fridge. Two TV's.Quiet efficient HVAC. Second floor location. Clean. Nice breakfast, not gourmet but fine in every respect. Have stayed there multiple times and always consistent. Close to airport and to Expo center. Ample parking. Good value for price paid."
"33",5,"The weather was horrible for our weekend in Denver, but the hotel made a nice difference. The staff was very nice and helpful. The room was comfortable and clean. I would especially like to thank Kerry at the front desk for working so hard to make sure everything was right!"
"34",5,"This was the most charming hotel we have stayed at in a long time. The rooms were huge and with a fireplace and a couple chairs- so comfy and clean. Decorated really cute and the front desk was so accommodating and kind. They have a cute dining area for breakfast in the morning. Wish I could find places like this... More"
"35",5,"The Benson is beautiful, with a classic grand lobby with elegant seating, high ceilings, a delightful place to pause. The dining room portion of the lobby is a very well appointed space, with elegant banquette seating. It serves fine breakfast, and a menu that works well through lunch and dinner, at very reasonable prices. The happy hour is a bargain.... More"
"36",4,"The only problem we had with this hotel was the rude manager, but I am addressing that with their corporate offices."
"37",4,"Stayed for three nights. The only thing lacking was the quality of the included breakfast."
"38",5,"Great Experience considering the horrible weather we were having. The staff was exceptionally nice and friendly. Breakfast was very good and the location in all was very clean."
"39",5,"Bad: Queen beds would have been better than fulls. Good: Nice hotel in little Tokyo in downtown L.A. Great view from the top floor, nice clean hotel and room. Staff very nice."
"40",4,"This Residence Inn is kind of out of no where - it's pretty far from the center of city and has lots developments in the area. That being said, there are good restaurants/coffeeshops around within 3-5 mins drive. Their price for the room in summer is GREAT! Not sure if I would pay for what they ask for in spring though.Dear Jui-Yu C,Thank you for choosing the Residence Inn Phoenix North/Happy Valley for your recent travels to Phoenix. Commitment to service and guest satisfaction is a main focus and we are delighted to hear you enjoyed your stay. The pride and dedication our hotel team takes in providing exceptional customer service to our valued guests speaks strongly to our companys core values, good service at a fair price.Thank you again for taking the time to provide your feedback and we look forward to serving you again soon!"
"41",5,"I was really happy with my experience at this hotel! I stayed here for a weekend in August. The room was nice and extremely clean. The staff was incredibly friendly. I loved the bathroom and it had a great shower. Right outside the hotel is a stop for the streetcar so its in a great location too. Absolutely no complaints... More"
"42",4,"I chose this property as the site as the host hotel for my brother's wedding guests and rehearsal dinner. The rooms were fine and the staff was mostly attentive. On one of the mornings, housekeeping missed making the bed somehow. The breakfast is awful. If you ate looking for a good free breakfast this is not the place. The meeting... More"
"43",2,"Bad: Room service was slow, have hidden pet fees and rules, and the pipes werent working. Good: They have a doggie potty area and spacious rooms"
"44",4,"This is not a super luxurious hotel with expensive furniture and fancy rooms. But for what it is, a chain with the usual rooms and extras, it is everything one could ask for. We were checked in by a pleasant and helpful clerk. The room was clean and quiet with a microwave oven, refrigerator, a large TV, and free WiFi. We used the laundry and fitness room facilities which were modern and clean. One of us chose the standard breakfast (coffee or tea, two eggs, sausage or bacon, toast or hash browns), offered at the Denny's next door, which was free. The other got 5 toward one of the other breakfasts offered on the menu. Both were satisfactory. We would stay there again.Thank you for your review and we will see you on your next visit to Napa."
"45",3,"The website looked great, the pictures and description and the cert. of exc. from TripAdvisor and, at the time 4.5 stars led me to choose this. But when we got here the place was so very different from what we expected. We paid 357 per night, and felt it was really more of a 150 - 200 per night place.... More"
"46",5,"Excellence in customer service, rooms and the breakfast provided! Everything is done with such quality and kindness! We occupied 7 hotel rooms while attending a family Thanksgiving. It was unanimous everyone loved the hotel! Thank you Hampton!"
"47",3,"Very noisy at night. Seemed to be a number of venues close by which closed around 2 am. Spacious room, very comfortable"
"48",1,"Bad: No customer service and they try to bill you for everything, for everything. Good: I wish customer service would reply to my emails. I should be getting a refund, but Booking has never replied to my emails. I guess this was my first time and last time using Booking.com. Worst stay ever."
"49",1,"I stayed and was almost eaten alive by bed bugs - Cost 118 doctor visit and ruined my vacation- reported to local health authority but received a reply back that since bedbugs are not known to transmit diseases and there are no public health laws addressing requirements for their control and removal they would not investigate or require action. I... More"
"50",4,"We were in town to visit family in Corpus and had never stayed at The Tarpon Inn. My children were with us so we needed enough room for 5 and room 42 was perfect! AND they are pet friendly. Being within walking distance to so many restaurants was a bonus. The staff couldn't have been nicer. Will recommend to my... More"
"51",5,"We stayed here two nights and it was very nice. Nothing fancy, but very clean, quiet and comfortable. The staff was very friendly and helpful! They have a small breakfast in the morning, which was enough for us (cereal, doughnuts, yogurt, etc.) They always have water, coffee and tea available in the lobby as well as microwave popcorn and Famous... More"
"52",4,"Pets are allowed. You do not know which rooms they allow Pets. I was awakened my first evening four times by two pit bulls barking beside me. Staff moved us to different room next day. Valet parking is too expensive. Rib Room prices are also too high. Rooms with a balcony are the way to go. Good Location for Hotel."
"53",5,"Nice hidden gem that places you right in the proper spot for walking. A nice bar inside that opens at 5pm. A Starbucks for snacks. Neat office area for working. Great use of building. Winter pricing is great. Parking is in a garage nearby. It does cost about 30 dollars a day with validation. Staff is friendly, areas clean. Well... More"
"54",4,"Our stay at the Holiday Inn Express was fine. The room was clean and neat, the staff friendly and helpful. I did find the hotel a bit too far from the downtown, although it is on the free shuttle line. When we rented a car we could park it for free at the hotel, which I am told is not always so. There is nothing happening right around the hotel, but it is near a marina."
"55",5,"Bad: Nothing . Good: Really nice casino brew pub hotel rooms were massive and clean great location for fremount street and affordable drink and food prices easy to get to the strip using local transport"
"56",4,"Breakfast was excellent every morning in restaurant setting...shuttle was quick and efficient."
"57",4,"this was a nice enough hotel, very clean, a small gym, and a small help yourself snack area (no, not free). there is no pool. i took the complimentary airport shuttle but was surprised how long it took to get to me but i waited patiently for over 45 minutes since i was enjoying the florida sun. the driver said... More"
"58",5,"Quiet and comfortable stay. Close to major roads but far enough away that you are not disturbed by the traffic.. The staff here was fantastic. Jason at the front desk greeted us by name every time we entered the hotel. Good breakfast served every morning and dinner was served Monday through Thursday. Will stay here in a heartbeat on our... More"
"59",3,"Bad: Arrived at reception late evening - it was in the middle of a very busy bar, couldn't hear receptionist. Got in lift and hadn't been told we needed to swipe room key card to get anywhere! Also had to pay per day for wifi!. Good: Beautiful room, good location"
"60",5,"The staff at Comfort Suites is very accommodating, and easy to work with. I had to extend my stay, and they were happy to help me. Also, the breakfast is probably one of the best that I have had in a hotel buffet very tasty."
"61",5,"We spent 4th of July weekend with family and friends at the Little Creel. The new owners were very friendly and helpful. They made it a point to check on us often and made sure everything was going ok! We had an amazing weekend there!"
"62",3,"Hyatt Place Hotels are always a wonderful option when we are traveling as a family. This particular hotel had a wonderful, helpful staff. The reasons for the 3 star review: The hotel could use some updating and there was an issue with their cleaning. The chairs in the dining area were stained and filthy looking. We dined there for dinner... More"
"63",4,"Overall a good stay as it was my 3rd or 4th for the month of March. Clean rooms and nice staff. I can not rate the breakfast as I normally sleep in until after."
"64",3,"At 150 a night for 1 room with 2 queen beds I have stayed at nicer hotels for less money. Over all the room was comfortable with nice air conditioning controlled by a wall thermostat. There is a refrigerator, microwave, and coffee pot in the room, The hotel has a nice small pool indoors but could use a good cleaning... More"
"65",5,"Like New. Exactly as booked. Room excellent .. shower head not great. Fantastic breakfast with outstanding breakfast lady! Great value for price. Would return without question. And you would too. Just do it."
"66",5,"Great remodel, rooms were super clean and well cared for and the lobby was nice. Perfect for trips to Disney parks."
"67",5,"Bad: The only thing I wish there could have been is hot food choices for breakfast, such as eggs and bacon or sausage. I did like how they set up the breakfast on each floor. That was very nice, however, having a place to eat outside of our room would be nice. But knowing there isn't anywhere to do that I think you do an excellent job with everything. We will definitely be coming back! Thank you. Good: The room and bathroom were spacious and very nice, very clean and updated. We stayed in the deluxe king room. Staff were all very nice and helpful!"
"68",4,"I have stayed at this property each time I visit family in New Jersey. Always very nice with super clean rooms, friendly staff and a great restaurant. Easy to get to and affordable. They have a well sorted Libby with snacks, sundries, business area and the requisite Tvs, lounge area and breakfast space. I'll be back."
"69",4,"Small hotel which made it nice. Not a lot of people all over the place. Rooms very clean and spacious with balconies in every room. Every room had beach view. Not on the beach, it's separated by the boardwalk. In which you come out of your room and you are right there with all the activities and restaurants. Very nice night life, and the beach is still right there. I do recommend this Hotel"
"70",4,"Bad: Old building- old room. Good: Staff- breakfast"
"71",5,"Bad: No microwave. Good: The shower was amazing"
"72",4,"Bad: Air con very loud in room,room poorly lit. Good: Very clean,staff brilliant and breakfast included was great value,well located for Disney parks and access to international drive."
"73",1,"We stayed for one night after coming to and leaving from Alaska. Although they claim to have non smoking rooms, some of their rooms have been used for smoking before. Both times, we were given rooms that was smelly. The first time, we were given another room that was good but the sink was not draining properly. Since we were... More"
"74",2,"Housekeeping left my door unlocked, and at the end of my stay the staff charged the wrong credit card. The people were pleasant, but if I had a choice between brusque staff who did their jobs properly and pleasant people who did not, I'd take brusque.Paul M,Thank you for choosing to stay at Hyatt House during your recent trip to Seattle and for taking the time to share your experience on TripAdvisor. I sincerely apologize about the inconveniences during your stay and will use your review to make the appropriate changes to improve our guest experience. Your feedback is essential to us and we hope to have the opportunity as our guest once again. Sarah Junge"
"75",4,"Quit and comfortable room. Bathroom could have been a little cleaner but was OK Nice breakfast"
"76",5,"Came for a weekend with a child. The front desk staff was always friendly and helpful. Breakfast was stocked and ready. Pool area was clean and the rooms were very nice. Would definitely recommend. Had no complaints at all. They are located a little off the beaten path but it was nice and quiet."
"77",2,"Imagine our disgust when we woke the following morning and found that the bed sheets had stains all over them.  If the hotels do nothing else, they should make absolutely certain their housekeeping staff is top notch and that they actually clean a room and change the bedding.  There were also dead insects on the floor of the bathroom.  I now know why this hotel had rooms available while everyone else was sold out."
"78",4,"Really nice stay. Clean, modern room, comfy bed, good channels, great location (15 min walk from Disneyland/CA Adventure), but a very high security deposit of 100. A lot of money for someone if they don't know beforehand."
"79",2,"Everyone was very friendly, however room wasn't super clean and our shower temperature was all over the place while taking a shower. Needs updating and small repairs I think."
"80",5,"We thoroughly enjoyed our stay at XV Beacon. All of the staff was friendly and attentive. The location is perfect for exploring Boston and for anywhere a little further, a driving service is offered. The driver, Mark, was very friendly and made sure to point out notable sites along the drive. The rate is expensive, but we enjoyed the high-level of service with multiple tidy services offered each day. The room was very comfortable for us."
"81",5,"we had a nice room, The front desk was very courteous, recommending a restaurant and giving directions to locations we were going the next. The breakfast was very good. We did not use the pool. xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"82",5,"The room was small quite clean the staff very helpful. I would stay here again as the location is wonderful, the price is reasonable and room adequate. I don't spend much time in a hotel room so the lack of space was not a problem."
"83",1,"The lobby looked nice and half way updated. Checked in got into room and immediately the smell of musty air conditioner, decor was outdated nothing close to the lobby and the first floor. Oh and there is no elevator and as you walk up the steps to the 2nd floor you see the paint and trim on the walls peeling... More"
"84",5,"Everything from the property to staff were delightful. This place lacks a pool however. They pride themselves on authenticity. I requested a late check-out and was surprised to have that shut-down immediately. They did however accommodate an early check-in from 4:00 to 1:30ish."
"85",5,"Bad: The pool was not at the hotel had to go to another hotel to swim and that is not stated when your booking your room. Just make it clear that there is not a pool at the hotel other than that loved the hotel!. Good: Great place to stay"
"86",4,"The check-in process was a little lengthy, but staff was pleasant. The rooms are nicely appointed with high tech touches like a tablet to control the drapes, music, temperature. The room wasn't very large, but it was comfy and had great windows views. The bathroom was fabulous. It had a huge shower, with a soaking tub behind it.... More"
"87",4,"Its a good place to stay. i would stay here again. Breakfast was just ok, nothing to rave about. Easy access to property and to find things to do. the bed was confortable and the room was super clean. the staff is honest because i left my credit card in the room and they call me to return it."
"88",3,"The breakfast was very good. The beds were quite hard. Enjoyed our stay though and would stay there again."
"89",4,"The location is very, very inconvenient, but I am sure that is nothing they can help, it is just how the city has grown around their location. I would have rated the room as a 4 or 5 for clean if the sofa was not so disgusting. I literally covered it with a sheet just to sit on it. There was not one inch of surface that was not covered with a greasy/dirty stain. I would have switched rooms if I hadn't already unloaded all of my stuff in the rain before I turned on the lights to reveal the nasty sofa. Otherwise, the room was clean and comfortable. It would be worth a couple of hundred dollars to get a steam cleaner and clean the sofas in each room. Not to mention how unsanitary it is."
"90",5,"The food was excellent with a great view. My husband and I loved our meal and service at the Esmeralda Restaurant. The chef here is amazing. Also the service was fabulous. Definitely a must visit if in the area."
"91",3,"Perfect place if you are looking for a more reasonable (quieter and not so expensive) place to stay. The best part of the hotel is that it is on the beach and boardwalk. Some of the rooms have an ocean view, which is worth it if you plan to spend any time in the room. However, the tricky part is... More"
"92",4,"In town sights stay. Had trouble with the set up of the room 1st room was ok next room was ok both beds were amazing for sleep the city lights and sight was amazing to wake up to the sun rises in the pH right side of ele food was amazing breakfast had dinner at legal seafood was amazing drink... More"
"93",4,"Great location. There was a lot of things going on downtown and the only complaint was parking lot was full and had to use the valet."
"94",5,"Just finished four nights around Thanksgiving and thoroughly enjoyed the hotel (see Westin Princeville review - that hotel is good but I prefer this one) tremendous service and facilities ROOMS - we took advantage of a Hyatt sale and got a suite that was over-the-top fantastic so not sure it's comparable (suite here was much better than 1 bedroom at... More"
"95",4,"Everything was great. The staff at the front desk were very friendly and made you feel comfortable. Would recommend to anyone and would stay here again when I am in the area."
"96",3,"Bad: I was overcharged at the property and after two requests to front desks no one got back to me. The third time I went to follow up myself. They overcharged me 130 dollars for the room. The hotel was under renovation so it was not good being on a partial construction site with the sound of drills going off. I would advise to shop around on the strip. Good: Bed was comfortable"
"97",5,"Brilliant hotel and very helpful staff"
"98",5,"Great stay. Desk clerk was no nice and helpful. Great beds. Clean room. Location location location!!!"
"99",4,"This is San Francisco in Silicon Valley, so when a hotel charges over 15 per night for internet access you expect a decent connection. Not that I needed to watch movies or do anything particularly heavy - but for work purposes the internet connection was often simply unacceptable. Despite that, the staff were extremely friendly, the room and hotel in... More"
"100",4,"This BB was charming and clean, with great furnishings and ambience. We loved staying there. Couldn't get a better location. Breakfast was continental style, very good and fresh, coffee and tea available all day, plus soup, jelly beans and cookies in the afternoon. The Inn puts out a bar with mixers for no charge - nice amenity! There are books... More"
"101",4,"We chose this hotel based on the price and location. It certainly lived up to our expectations. It was by far the best value for money I could find with most other hotels almost double. Given we would be out and about most days we just wanted something decent we could get a good sleep in and was clean.River Hotel check in was quick and easy. After a long flight we asked for a quiet room that had a great view when we woke up.We got a room with a view of the alley way and some kind of air con vents outside (1011). Whatever the air con thing was outside had a constant hum and it would drive anyone crazy.The air con in the room was the only thing noisier! Impossible to sleep with it on even with the supplied ear plugs. It's not the city noise that's the problem it's these two things.We loved the free filtered water and bottles.So overall looking back on this trip I think the value and location win out ever so slightly. Maybe a different room would make a difference to this review overall of the hotel."
"102",4,"Bad: Rude guest service. Good: I liked the room I was in and was close to other hotels."
"103",5,"We booked this hotel last minute. We thought it was going to kind of A mediocre room. When we arrived there was plenty of parking and best of all parking is free. When checking in the two gals at the front desk were very pleasant. Check in was super fast and easy. When we arrived to our room we were... More"
"104",5,"I loved this hotel! Got in late to find the room lights and tv on! It was great, I didn't have to drag my bags into a dark room and find the lights. So, comfortable, great sleep and oh man great shower!!"
"105",4,"Bad: Tempeture control. Fan was not automatic. Had to manually turn off and on. not a deal breaker. Good: Location and staff. Staff was very friendly and helpfull. We arrived a few hours before check in and they held our luggage while we explored the area. Lots of shopping an dinner choices close by. T was 2 minutes away. Room was nice."
"106",5,"Bad: That we were only there for 2 nights. Good: Very spacious room, with a partial ocean view from the balcony. Rooftop pool and seating looked amazing. Staff were very friendly, and food was excellent. Eric's 'Honey Jalapeno Ginger Margaritas' were superb!"
"107",4,"Brief stay but Hotel was very accommodating."
"108",5,"I stayed at Ritz-Carlton Hotel during my last visit.However, St. Regis is located right on the 5th avenue where I dropped by twice.Once for a afternoon tea at Astor Court, after a long busy day. Varieties of sandwiches and scones were nicely served, just like they do at Ritz, London, I skipped dinner on that evening.The next evening I dropped by to have light snack before evening play. The club sandwich was a simple menu but the most delicious I have had. The over all service is excellent.I would definitely stay at this hotel if it situated near the Central Park, like Ritz-Carlton.Dear spaniel12, On behalf of the entire team at The St. Regis New York, we thank you for sharing the details of your recent visit to Astor Court on TripAdvisor.At The St. Regis New York, we pride ourselves on our personalized service, and we are so glad that you were able to experience this first hand.Please let us know when you will be returning to New York, as we would love to welcome you back as our guest.Sincerely,Octavia MargineanHotel Manager"
"109",5,"My 93 year old mother and caregiver were evacuated due to the fires. This Best Western made every accommodation to make them welcome and comfortable. They did NOT jack the rates up knowing there would be hundreds of people looking for a place to stay. They did NOT charge extra for leaving sooner than expected. They behaved as compassionately as possible."
"110",5,"My stay was short...wished I could have stayed longer. Check in was fast. Staff very professional. Hotel was clean and inviting. Suite was spacious for a high rise Hotel. Expected cramped however, was pleasently surprised by it's size. Restaurant and convenience stores within walking distance. The Hotel is in a residential neighborhood, not much activity surrounding it. Although there is a fee for parking, It was the cheapest in the area."
"111",5,"Bad: I had to be switched because these people next door were partying all hours of the night. At 3am they decided to start arguing in the hall. I called security once for them to turn up their music right after they left. Then security came up again while they were in the hall screaming. I will say this the hotel made it right. They gave me that night free and switched me rooms. Good: The rooms were beautiful. Comfy beds good breakfast."
"112",5,"The location feels like a small paradise. The views are breathtaking. Beautiful sunsets. While there are a lot of stairs down to the beach, they are real stairs built and provided by Seacrest. The beach feels like a private beach. Downtown and the pier are walking distance from Seacrest along the beach.No need to go anywhere. It would be nice... More"
"113",5,"Recently stayed for 2 weeks in the Paddock area of saratoga springs. Great location..just a short walk to the paddock pool and padfock grill...also 2 mins from either carousel or paddock bus stop. Short and very pleasant 5 min walk to the main springs pool and artists pallete restaurant and main lobby. Pool was amazing..never over crowded. Room ..studio..was very... More"
"114",5,"Stayed here for 3 nights on our way to Marco Island having never been to Longboat Key before. So glad we chose this resort, all the staff were so helpful and friendly. We had a gulf facing one bed roomed condo which was lovely. Very well equipped kitchen, even had washer and dryer which was helpful. Ate at Portofino, Sands... More"
"115",5,"Great people and location. Very happy I stayed here. Within walking distance of lots of restaurants entertainment ,and bars. The room was very clean and all rooms have a good view. I am looking forward to commit back next year."
"116",5,"During our recent stay at the Aria, my fianc and I experienced nothing but exceptional service. The hotel was incredible and amenities were great. We had a corner suite for a weekend and wish we could have stayed longer. Can't wait to book our next Vegas trip there."
"117",5,"Stayed for the weekend and the only thing I would change is that a free continental breakfast would be nice. The staff was very friendly and accommodating. I would highly recommend this hotel to anyone staying in Harrisburg."
"118",5,"We stayed at the Shore hotel two months ago, the hotel exceeded our expectations. We stayed in an Ocean-view Premier room which offered us a view of the pool and ocean. All was perfect, no complaints at all. The room was very clean and comfortable, the valet retrieved our car quickly each time and were very friendly. The staff at... More"
"119",4,"This hotel was really good. The desk lady was very nice when we arrived, the room was clean, parking was right in front of our room. The only thing I would recommend is to invest in some softer towels, but that's a minor problem. We will stay here again, no need to spend a ton of money on a bigger... More"
"120",5,"I was in town for a trade show next door at the convention center. Very nice stay. Extremely comfortable bed. Excellent staff. has nice Papasito's on first floor. You can't ask for a better place to stay."
"121",5,"Stayed for two night August 2015, easy to find (even for us Brits), swift and efficient service to our rooms ( I was sweating needed AC!) Rooms were, simple and fab. Drinks and greeting at recepton..........cool .........and soo welcoming. Indoor Pool in August!, not really, BUT plenty of lovely spots outside with seats 'chilli's the shade. CURTSY bus into town,... More"
"122",4,"Everything was great with the hotel except our bathroom. There was no bathtub. I believe it was probably a handicap room. Not having a bathtub caused water to go all over the floor which caused me to slip on the floor."
"123",5,"The Embassy Suites Lithicum provided a high quality venue for our youth baseball team as we participated in a tournament that weekend. The team loved the atmosphere and ambiance of this Hilton brand hotel. It is among the nicer hotels that we now stay in due to an experience that we had with the standard accomodations at popular hotel chains such as DI, M6, S8, HJ, etc. The cook to order breakfast was a bonus. My only complaint would be is that it is a loud hotel on the weekend with special events and people constantly hanging out of there rooms on the atrium. It would also be great to at least provide free wireless in the common areas. The fee for wireless was almost 10/day and the business center was always full."
"124",4,"I got a room on the 2nd floor and when I mentioned about having 2 kids, the front desk person immediately checked and provided a room allotted for handicapped people as it was available. Kudos to her (Couldn't get her name) and it made our stay more pleasant. I will certainly try this place again when I visit this region."
"125",5,"Wonderful accommodation and loved the area. We'll definitely be back!!"
"126",3,"My wife and I rode our motorcycles thru a summer storm from Indiana to this hotel. Needless to say, once we arrived, we were tired, wet, and ready to get into a room. I had a reservation, along w/ a 50 best western (BW) gift card to use from a summer promotion. The desk clerk initially was not going to... More"
"127",5,"Bad: Toothpaste. I wish more hotels came with toothpaste in the bathroom . I hate calling to get some. It's a necessity. That's my only complaint, but that's pretty much for every hotel I've stayed in. Good: The bed was beyond comfortable, didn't want to get up at all"
"128",4,"the hall was very nice, food was great and the staff was the best. however, they didn't do a couple of thing right that I specifically asked for and I had to a few times during the night remind them of a couple of things."
